"Store Reviews", "Отзывы о магазине"
"Local Comments", "Отзывы о магазине"
"Comments", "Отзывы"
"Comments settings", "Настройки отзывов"
"Flamp Review Settings", "Настройки отзывов с Flamp"
"Flamp ID", "ID на сайте Flamp"
"Yandex Review Settings", "Настройки отзывов с Yandex"
"Enabled", "Включено"
"Yandex Shop ID", "Код магазина Yandex"
"Yandex Auth Key", "Ключ авторизации Yandex"
"Rating ID for Store Review", "Код рейтинга для отзывов к магазину"
"Rating", "Рейтинг"
"Store Reviews:", "Отзывы об Интернет-магазине:"
"Show more", "Показать больше"
"Write review", "Написать отзыв"
"You do not have any review", "Пока нет ни одного отзыва"
"Reply:", "Ответ:"
"stars", "звезд"
"star(s)", "звезд(ы)"
"Adding Review", "Добавление отзыва"
"very bad", "очень плохо"
"bad", "плохо"
"medium", "средне"
"good", "хорошо"
"very good", "отлично"
"Your name", "Ваше имя"
"Your review", "Ваш отзыв"
"Your rating", "Ваша оценка"
"Please select your rating", "Пожалуйста, выберите оценку"
"Please identify yourself", "Пожалуйста, представьтесь"
"Please fill your review", "Пожалуйста, заполните ваш отзыв"
"Advantages", "Достоинства"
"Limitations", "Недостатки"
"Company", "Компания"
"Thank you. Your review is awaiting moderation", "Спасибо! Ваш отзыв ожидает проверки модератором"
"Reply", "Ответ"
"Email Notification Enabled", "Уведомление на Email включено"
"Notification Email(s)", "Email(ы) для уведомления"
"Comma separated emails", "Список email'ов, разделенных запятыми"
"Cron Enabled", "Cron включен"
"Cron Schedule", "Расписание для Cron"
"Local Review Settings", "Настройки локальных отзывов"
"Logo Image", "Картинка с логотипом"
"New Review Status", "Статус нового отзыва"
"Source", "Источник"
"Nickname", "Никнэйм"
"Level", "Уровень"
"Load Reviews", "Загрузить отзывы"
"Pending", "Ожидание"
"Not approved", "Отклонен"
"Are you sure to change the status of selected review(s)?", "Вы действительно хотите изменить статус у выделенных отзывов?"
